,ano,codigo,rdeser,total_matriculados,mat_mas,promedio_edad,municipal,particular,arancel,total_titulados,rmat_tit,clasif_inst_n3,area_ocde,modalidad,jornada,acreditada
15418,2013,I430S9C52J2V1,Medio Alto,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Medio,Bajo,Muy Bajo,Bajo,Centros de Formaci�n T�cnica,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
15419,2013,I430S9C52J1V1,Medio,Bajo,Medio,Muy Bajo,Medio,Medio Alto,Bajo,Medio,Bajo,Centros de Formaci�n T�cnica,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
15420,2013,I430S9C51J2V1,Medio,Bajo,Medio,Medio Alto,Medio Alto,Medio Alto,Bajo,Medio,Muy Bajo,Centros de Formaci�n T�cnica,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
15421,2013,I430S9C51J1V1,Medio Alto,Bajo,Bajo,Bajo,Medio,Medio Alto,Bajo,Medio,Bajo,Centros de Formaci�n T�cnica,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
15423,2013,I430S9C46J1V1,Alto,Muy Bajo,Alto,Muy Bajo,Medio Alto,Bajo,Bajo,Muy Bajo,Medio,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15426,2013,I430S9C44J1V1,Alto,Muy Bajo,Medio,Medio,Medio Alto,Medio,Bajo,Muy Bajo,Medio Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15428,2013,I430S9C43J1V1,Medio,Bajo,Alto,Muy Bajo,Medio,Bajo,Bajo,Medio,Medio Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15429,2013,I430S9C42J2V1,Medio Alto,Muy Bajo,Alto,Medio Alto,Medio,Medio,Medio,Muy Bajo,Alto,Centros de Formaci�n T�cnica,CIENCIAS,PRESENCIAL,VESPERTINO,acreditado
15430,2013,I430S9C34J2V1,Bajo,Medio,Alto,Medio Alto,Medio,Muy Bajo,Medio,Alto,Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
15431,2013,I430S9C34J1V1,Alto,Medio Alto,Alto,Muy Bajo,Bajo,Bajo,Medio,Alto,Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15432,2013,I430S9C2J1V1,Medio,Muy Bajo,Medio,Muy Bajo,Bajo,Medio Alto,Bajo,Bajo,Medio,Centros de Formaci�n T�cnica,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15433,2013,I430S9C18J1V1,Bajo,Bajo,Alto,Muy Bajo,Medio Alto,Muy Bajo,Bajo,Medio,Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15434,2013,I430S9C179J1V1,Medio Alto,Bajo,Medio,Bajo,Alto,Alto,Bajo,Muy Bajo,Medio,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15435,2013,I430S9C178J1V1,Medio Alto,Bajo,Muy Bajo,Muy Bajo,Medio Alto,Medio Alto,Bajo,Bajo,Medio,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15436,2013,I430S9C175J2V1,Medio Alto,Bajo,Alto,Medio Alto,Medio Alto,Muy Bajo,Medio,Bajo,Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
15437,2013,I430S9C175J1V1,Bajo,Medio,Alto,Bajo,Medio,Bajo,Medio,Medio,Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15438,2013,I430S9C168J1V1,Muy Bajo,Bajo,Bajo,Muy Bajo,Medio,Medio Alto,Medio,Medio,Muy Bajo,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15439,2013,I430S9C158J2V1,Medio Alto,Muy Bajo,Alto,Medio Alto,Alto,Bajo,Medio,Bajo,Medio Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
15440,2013,I430S9C153J1V1,Muy Bajo,Muy Bajo,Medio Alto,Medio Alto,Medio,Medio Alto,Bajo,Bajo,Alto,Centros de Formaci�n T�cnica,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
15441,2013,I430S9C134J2V1,Medio Alto,Bajo,Alto,Medio Alto,Alto,Medio,Medio,Medio,Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
15442,2013,I430S9C134J1V1,Alto,Medio Alto,Alto,Muy Bajo,Medio Alto,Bajo,Medio,Medio Alto,Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15443,2013,I430S9C131J2V1,Medio,Bajo,Medio,Medio Alto,Medio Alto,Medio Alto,Medio,Bajo,Bajo,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,VESPERTINO,no acreditado
15444,2013,I430S9C131J1V1,Medio Alto,Alto,Bajo,Muy Bajo,Medio Alto,Medio Alto,Medio,Alto,Bajo,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15445,2013,I430S9C113J1V1,Medio,Bajo,Medio Alto,Bajo,Alto,Medio Alto,Bajo,Bajo,Medio Alto,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15475,2013,I260S38C50J1V1,Medio,Muy Bajo,Medio,Bajo,Medio,Medio Alto,Bajo,Medio,Bajo,Centros de Formaci�n T�cnica,AGRICULTURA,PRESENCIAL,DIURNO,no acreditado
15476,2013,I260S38C79J1V1,Muy Bajo,Medio,Muy Bajo,Bajo,Alto,Muy Bajo,Bajo,Alto,Muy Bajo,Centros de Formaci�n T�cnica,EDUCACI�N,PRESENCIAL,DIURNO,no acreditado
15477,2013,I260S38C56J2V1,Bajo,Muy Bajo,Medio,Alto,Medio,Medio,Bajo,Muy Bajo,Bajo,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,VESPERTINO,acreditado
15478,2013,I260S38C47J2V1,Medio Alto,Medio,Muy Bajo,Medio Alto,Alto,Muy Bajo,Medio,Medio,Bajo,Centros de Formaci�n T�cnica,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,acreditado
15479,2013,I260S38C47J1V1,Medio Alto,Alto,Muy Bajo,Bajo,Medio Alto,Bajo,Medio,Alto,Muy Bajo,Centros de Formaci�n T�cnica,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
15480,2013,I260S38C45J2V1,Alto,Medio,Medio,Alto,Medio Alto,Bajo,Bajo,Medio Alto,Medio,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,VESPERTINO,acreditado
15481,2013,I260S38C45J1V1,Alto,Medio Alto,Medio,Bajo,Medio Alto,Medio,Bajo,Medio Alto,Bajo,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,acreditado
15482,2013,I260S38C276J1V1,Alto,Muy Bajo,Muy Bajo,Medio,Medio,Medio,Bajo,Bajo,Muy Bajo,Centros de Formaci�n T�cnica,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15485,2013,I260S38C120J2V1,Medio Alto,Muy Bajo,Bajo,Alto,Medio Alto,Medio,Muy Bajo,Bajo,Medio,Centros de Formaci�n T�cnica,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,acreditado
15488,2013,I260S38C108J1V1,Muy Bajo,Bajo,Medio Alto,Medio,Alto,Medio,Bajo,Medio Alto,Medio,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15491,2013,I629S2C2J2V1,Medio,Bajo,Medio,Alto,Medio,Muy Bajo,Bajo,Medio Alto,Bajo,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,VESPERTINO,no acreditado
15493,2013,I629S2C0J2V1,Medio Alto,Bajo,Alto,Alto,Medio,Muy Bajo,Bajo,Medio Alto,Alto,Centros de Formaci�n T�cnica,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
15494,2013,I629S0C8J1V1,Medio,Muy Bajo,Bajo,Medio Alto,Medio Alto,Medio Alto,Muy Bajo,Medio,Muy Bajo,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15495,2013,I629S0C6J2V1,Medio Alto,Bajo,Medio,Medio Alto,Alto,Muy Bajo,Muy Bajo,Bajo,Medio Alto,Centros de Formaci�n T�cnica,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
15496,2013,I629S0C5J2V1,Bajo,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Bajo,Muy Bajo,Bajo,Medio Alto,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,VESPERTINO,no acreditado
15497,2013,I629S0C2J2V1,Medio Alto,Medio Alto,Medio Alto,Alto,Medio Alto,Bajo,Bajo,Medio Alto,Medio Alto,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,VESPERTINO,no acreditado
15498,2013,I629S0C10J1V1,Medio Alto,Bajo,Medio,Medio Alto,Medio Alto,Medio,Muy Bajo,Medio,Medio Alto,Centros de Formaci�n T�cnica,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15500,2012,I23S1C7J1V1,Alto,Bajo,Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15501,2012,I23S1C63J2V1,Medio,Medio,Medio Alto,Alto,Muy Bajo,Medio,Alto,Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
15502,2012,I23S1C42J1V1,Medio Alto,Medio Alto,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Medio,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15503,2012,I23S1C3J1V1,Medio Alto,Alto,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15504,2012,I23S1C2J1V1,Alto,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Muy Bajo,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
15505,2012,I23S1C1J1V1,Medio,Alto,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15506,2012,I20S3C7J1V1,Medio,Alto,Muy Bajo,Bajo,Muy Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
15507,2012,I20S3C72J1V1,Alto,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Alto,Muy Bajo,Muy Bajo,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15508,2012,I20S3C70J1V1,Medio,Medio,Alto,Bajo,Bajo,Alto,Medio Alto,Medio,Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
15509,2012,I20S3C6J2V1,Alto,Medio,Medio,Alto,Muy Bajo,Medio Alto,Alto,Muy Bajo,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
15510,2012,I20S3C6J1V1,Medio,Alto,Bajo,Bajo,Muy Bajo,Alto,Alto,Medio Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15511,2012,I20S3C31J1V1,Medio,Alto,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15512,2012,I20S3C66J1V1,Bajo,Medio Alto,Bajo,Medio,Muy Bajo,Alto,Medio Alto,Alto,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
15513,2012,I20S3C65J1V1,Medio Alto,Alto,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Medio,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15514,2012,I20S3C5J1V1,Medio,Medio,Medio,Medio,Muy Bajo,Alto,Alto,Medio,Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15515,2012,I20S3C37J1V1,Medio Alto,Alto,Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Medio Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
15516,2012,I20S3C28J1V1,Bajo,Medio,Medio,Medio,Muy Bajo,Alto,Alto,Bajo,Bajo,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15518,2012,I20S3C23J1V1,Medio,Alto,Bajo,Muy Bajo,Muy Bajo,Medio Alto,Alto,Medio,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15520,2012,I20S3C21J1V1,Medio,Alto,Medio,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15521,2012,I20S3C1J1V1,Medio,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15522,2012,I20S3C19J1V1,Bajo,Alto,Medio Alto,Bajo,Muy Bajo,Alto,Medio Alto,Alto,Medio Alto,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
15523,2012,I20S3C18J1V1,Bajo,Medio,Muy Bajo,Medio,Muy Bajo,Alto,Medio Alto,Medio,Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
15524,2012,I20S3C17J1V1,Medio Alto,Bajo,Bajo,Muy Bajo,Muy Bajo,Alto,Alto,Muy Bajo,Medio,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
15525,2012,I20S3C107J1V1,Bajo,Muy Bajo,Medio Alto,Medio,Bajo,Medio Alto,Medio Alto,Bajo,Medio,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15526,2012,I20S3C102J1V1,Bajo,Medio Alto,Alto,Bajo,Muy Bajo,Medio Alto,Medio Alto,Medio,Alto,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15532,2012,I46S18C56J2V1,Medio Alto,Medio Alto,Muy Bajo,Alto,Medio,Muy Bajo,Medio,Medio Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
15533,2012,I46S18C128J2V1,Bajo,Muy Bajo,Medio Alto,Alto,Muy Bajo,Bajo,Medio,Muy Bajo,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
15540,2012,I19S6C7J1V1,Medio Alto,Medio,Bajo,Medio Alto,Medio,Medio Alto,Alto,Muy Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15542,2012,I19S6C62J1V1,Medio Alto,Medio,Muy Bajo,Muy Bajo,Medio,Medio Alto,Medio Alto,Medio,Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
15543,2012,I19S6C37J1V1,Medio Alto,Medio Alto,Bajo,Medio Alto,Bajo,Medio Alto,Medio Alto,Muy Bajo,Medio Alto,Universidades Privadas,AGRICULTURA,PRESENCIAL,DIURNO,no acreditado
15545,2012,I19S6C2J1V1,Medio Alto,Medio,Medio,Bajo,Medio Alto,Medio Alto,Medio Alto,Muy Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15546,2012,I19S6C154J1V1,Alto,Medio,Muy Bajo,Medio Alto,Medio,Bajo,Bajo,Medio,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15547,2012,I19S6C12J1V1,Bajo,Muy Bajo,Alto,Medio,Medio Alto,Medio Alto,Medio,Muy Bajo,Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
15548,2012,I19S6C101J1V1,Bajo,Bajo,Medio Alto,Medio,Alto,Medio Alto,Bajo,Bajo,Medio Alto,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15549,2012,I22S2C215J2V1,Medio Alto,Muy Bajo,Alto,Medio Alto,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Medio Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
15550,2012,I22S2C214J2V1,Alto,Muy Bajo,Medio Alto,Medio Alto,Medio,Medio Alto,Medio Alto,Muy Bajo,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
15553,2012,I22S1C82J1V1,Medio Alto,Alto,Medio Alto,Bajo,Bajo,Medio Alto,Medio Alto,Medio Alto,Medio,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
15554,2012,I22S1C65J1V1,Medio Alto,Medio Alto,Medio,Medio,Muy Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15555,2012,I22S1C5J1V1,Muy Bajo,Bajo,Bajo,Medio,Alto,Medio Alto,Medio,Medio,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15556,2012,I22S1C56J1V1,Muy Bajo,Bajo,Medio,Medio,Muy Bajo,Alto,Medio Alto,Muy Bajo,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15558,2012,I22S1C35J1V1,Muy Bajo,Bajo,Medio Alto,Medio Alto,Bajo,Alto,Medio Alto,Medio,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15559,2012,I22S1C33J1V1,Muy Bajo,Alto,Muy Bajo,Medio,Muy Bajo,Alto,Alto,Medio Alto,Medio,Universidades Privadas,AGRICULTURA,PRESENCIAL,DIURNO,no acreditado
15560,2012,I22S1C2J1V1,Muy Bajo,Medio Alto,Medio,Medio,Muy Bajo,Alto,Alto,Medio Alto,Medio,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15561,2012,I22S1C257J1V1,Alto,Muy Bajo,Medio Alto,Alto,Medio,Alto,Medio Alto,Muy Bajo,Alto,Universidades Privadas,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
15563,2012,I22S1C1J1V1,Bajo,Medio Alto,Medio Alto,Medio,Bajo,Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
15564,2012,I22S1C18J1V1,Medio,Alto,Bajo,Bajo,Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
15566,2012,I22S1C108J1V1,Medio Alto,Muy Bajo,Medio,Medio,Bajo,Alto,Medio Alto,Bajo,Bajo,Universidades Privadas,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
15567,2012,I22S1C107J1V1,Alto,Medio Alto,Bajo,Bajo,Medio,Medio Alto,Medio Alto,Bajo,Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
15568,2012,I22S1C101J1V1,Medio Alto,Alto,Medio,Bajo,Bajo,Medio Alto,Alto,Bajo,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15569,2012,I27S1C77J1V1,Medio,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Medio Alto,Bajo,Muy Bajo,Bajo,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15572,2012,I27S1C70J1V1,Medio Alto,Muy Bajo,Muy Bajo,Medio Alto,Medio Alto,Medio,Bajo,Bajo,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15573,2012,I27S1C39J2V1,Medio,Alto,Muy Bajo,Alto,Medio,Bajo,Alto,Medio,Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
15574,2012,I27S1C39J1V1,Bajo,Alto,Muy Bajo,Medio Alto,Medio,Medio Alto,Alto,Medio Alto,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15575,2012,I27S1C29J1V1,Muy Bajo,Muy Bajo,Medio Alto,Medio,Medio Alto,Medio Alto,Medio Alto,Muy Bajo,Medio Alto,Universidades Privadas,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
15576,2012,I27S1C21J2V1,Medio Alto,Muy Bajo,Alto,Alto,Muy Bajo,Bajo,Medio Alto,Medio,Alto,Universidades Privadas,SERVICIOS,PRESENCIAL,VESPERTINO,no acreditado
15577,2012,I27S1C217J1V1,Bajo,Muy Bajo,Medio Alto,Medio Alto,Bajo,Alto,Muy Bajo,Muy Bajo,Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
15580,2012,I27S11C63J1V1,Bajo,Bajo,Medio Alto,Medio,Medio Alto,Bajo,Alto,Bajo,Alto,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
15583,2012,I27S11C20J2V1,Alto,Muy Bajo,Bajo,Alto,Medio,Bajo,Bajo,Medio,Muy Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
15586,2012,I13S6C9J2V1,Medio,Bajo,Medio,Alto,Muy Bajo,Muy Bajo,Medio Alto,Muy Bajo,Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
15588,2012,I13S6C6J1V1,Medio,Medio Alto,Bajo,Medio,Medio,Medio Alto,Medio Alto,Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
15591,2012,I13S6C31J1V1,Medio,Alto,Medio,Medio,Medio,Medio,Alto,Medio,Medio,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
15592,2012,I13S6C30J1V1,Bajo,Medio Alto,Muy Bajo,Bajo,Medio,Bajo,Medio,Medio,Muy Bajo,Universidades Privadas,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
15593,2012,I13S6C1J1V1,Medio,Medio Alto,Muy Bajo,Medio,Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas,AGRICULTURA,PRESENCIAL,DIURNO,acreditado
15594,2012,I13S6C13J1V1,Medio Alto,Alto,Muy Bajo,Bajo,Bajo,Bajo,Alto,Muy Bajo,Alto,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
15595,2012,I54S8C69J1V1,Medio Alto,Medio Alto,Muy Bajo,Muy Bajo,Medio,Medio,Medio,Medio,Muy Bajo,Universidades Privadas,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,no acreditado
15596,2012,I54S8C51J2V1,Alto,Muy Bajo,Bajo,Medio Alto,Medio Alto,Medio,Medio,Muy Bajo,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
15597,2012,I54S8C50J2V1,Medio Alto,Muy Bajo,Medio Alto,Alto,Bajo,Medio Alto,Bajo,Muy Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
15598,2012,I54S8C50J1V1,Medio Alto,Bajo,Medio,Medio,Medio Alto,Medio Alto,Bajo,Bajo,Medio,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15599,2012,I54S8C48J1V1,Bajo,Medio Alto,Alto,Medio,Medio,Medio Alto,Bajo,Bajo,Medio Alto,Universidades Privadas,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
15601,2012,I54S8C47J1V1,Medio Alto,Medio,Medio,Medio,Medio,Medio Alto,Bajo,Bajo,Medio Alto,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
15602,2012,I54S8C151J1V1,Bajo,Bajo,Bajo,Medio Alto,Alto,Bajo,Bajo,Bajo,Bajo,Universidades Privadas,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
